created_at;order_id;status;status_details;shipping_method;merchant_id;shop_id;sales_channel_type_id;total_price;total_shipping;order_items
Thu Aug 20 2020 00:53:40 GMT+0300 (EEST);1145778.4355;fulfilled;null;1;6671601;4;2894;400;[{"quantity":1,"print_provider_id":3,"print_provider_sku":"3001_MAROON_3XL","print_provider":"The Dream Junction ","tags":["Maroon","3XL"]}]
Thu Aug 13 2020 08:12:56 GMT+0300 (EEST);1642292.5979;fulfilled;null;1;7085530;4;3700;800;[{"quantity":1,"print_provider_id":29,"print_provider_sku":"022-008-005","print_provider":"Monster Digital ","tags":["Athletic Heather","2XL"]},{"quantity":1,"print_provider_id":3,"print_provider_sku":"3001_HEATHER_RED_2XL","print_provider":"The Dream Junction ","tags":["Heather Red","2XL"]}]
Fri Aug 07 2020 11:06:16 GMT+0300 (EEST);1425796.1650;fulfilled;null;1;6912122;1;2036;615;[{"quantity":1,"print_provider_id":41,"print_provider_sku":"721-M-NAV-03L-00609","print_provider":"Duplium","tags":[" Navy","L"]}]
Mon Aug 10 2020 00:27:31 GMT+0300 (EEST);1789574.199;fulfilled;null;1;7199649;4;3500;660;[{"quantity":1,"print_provider_id":41,"print_provider_sku":"721-Y-BLK-1XL-30370","print_provider":"Duplium","tags":["Black","XL"]}]
Tue Aug 11 2020 16:25:04 GMT+0300 (EEST);549663.498;fulfilled;null;1;6146691;2;1101;400;[{"quantity":1,"print_provider_id":29,"print_provider_sku":"002-004-002","print_provider":"Monster Digital ","tags":["M","Black"]}]
Wed Aug 19 2020 02:34:59 GMT+0300 (EEST);1909050.209;fulfilled;null;1;7294341;1;499;350;[{"quantity":1,"print_provider_id":1,"print_provider_sku":"4x4-white","print_provider":"SPOKE Custom Products","tags":["4x4\"","White"]}]
Wed Aug 05 2020 17:53:31 GMT+0300 (EEST);1365112.693;fulfilled;null;1;6857973;2;1783;500;[{"quantity":1,"print_provider_id":10,"print_provider_sku":"PRT-GEN-SW23FI","print_provider":"MWW On Demand","tags":["36x26"]}]
Tue Aug 11 2020 12:47:24 GMT+0300 (EEST);1834033.375;fulfilled;null;1;7233770;4;1500;400;[{"quantity":1,"print_provider_id":3,"print_provider_sku":"3001_VINTAGE_BLACK_L","print_provider":"The Dream Junction ","tags":["Vintage Black","L"]}]
Wed Aug 26 2020 12:07:37 GMT+0300 (EEST);1674237.4053;fulfilled;null;1;7110501;2;1626;400;[{"quantity":1,"print_provider_id":29,"print_provider_sku":"005-009-002","print_provider":"Monster Digital ","tags":["Navy","M"]}]
Sat Aug 08 2020 07:20:47 GMT+0300 (EEST);1783970.29;fulfilled;null;1;7195362;2;1708;750;[{"quantity":1,"print_provider_id":3,"print_provider_sku":"18000_SPORT_GREY_S","print_provider":"The Dream Junction ","tags":[" Sport Grey","S"]}]
