order_id,created_at,shop_id,merchant_id
1145778.4355,Thu Aug 20 2020 00:53:40 GMT+0300 (EEST),4,6671601
1642292.5979,Thu Aug 13 2020 08:12:56 GMT+0300 (EEST),4,7085530
1425796.165,Fri Aug 07 2020 11:06:16 GMT+0300 (EEST),1,6912122
1789574.199,Mon Aug 10 2020 00:27:31 GMT+0300 (EEST),4,7199649
549663.498,Tue Aug 11 2020 16:25:04 GMT+0300 (EEST),2,6146691
1909050.209,Wed Aug 19 2020 02:34:59 GMT+0300 (EEST),1,7294341
1365112.693,Wed Aug 05 2020 17:53:31 GMT+0300 (EEST),2,6857973
1834033.375,Tue Aug 11 2020 12:47:24 GMT+0300 (EEST),4,7233770
1674237.4053,Wed Aug 26 2020 12:07:37 GMT+0300 (EEST),2,7110501
1783970.29,Sat Aug 08 2020 07:20:47 GMT+0300 (EEST),2,7195362
1837607.29,Tue Aug 04 2020 11:16:41 GMT+0300 (EEST),1,7236538
1814585.223,Tue Aug 18 2020 01:39:31 GMT+0300 (EEST),4,7218086
202766.225,Sat Aug 15 2020 22:55:44 GMT+0300 (EEST),1,5841317
1687462.32,Fri Aug 07 2020 00:12:25 GMT+0300 (EEST),4,7084134
1280396.20626,Mon Aug 03 2020 05:31:35 GMT+0300 (EEST),4,6795017
1394039.1901,Sat Aug 01 2020 18:40:02 GMT+0300 (EEST),6,6828211
1857286.131,Wed Aug 12 2020 03:41:27 GMT+0300 (EEST),4,7251936
1748212.298,Tue Aug 25 2020 21:55:22 GMT+0300 (EEST),4,7168114
1720307.1188,Tue Aug 18 2020 09:11:39 GMT+0300 (EEST),1,7146390
1734809.756,Wed Aug 05 2020 05:02:36 GMT+0300 (EEST),4,7157691
1548817.6,Fri Aug 21 2020 20:13:56 GMT+0300 (EEST),9,7010992
1888951.22,Wed Aug 12 2020 06:52:36 GMT+0300 (EEST),2,7170809
1759301.1047,Tue Aug 04 2020 10:49:03 GMT+0300 (EEST),2,6751434
1455496.8675,Fri Aug 14 2020 11:59:15 GMT+0300 (EEST),2,6937671
1669077.55,Mon Aug 17 2020 10:38:27 GMT+0300 (EEST),4,7106445
1781464.5,Sun Aug 02 2020 03:33:27 GMT+0300 (EEST),4,7193462
1519422.144,Fri Aug 28 2020 06:57:03 GMT+0300 (EEST),4,6987762
1760559.65,Tue Aug 18 2020 03:52:27 GMT+0300 (EEST),4,7177675
1691096.719,Fri Aug 07 2020 10:57:36 GMT+0300 (EEST),4,7084134
